idDatosGrasas,codigoGrasa,Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40�C. cSt,"Penetraci�n de Cono a 25�C, 0.1mm","Punto de Gota, �C","Estabilidad Mec�nica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm",Indice de Carga-Desgaste,"Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80�C, %",Corrion EMCOR,Corrosi�n al Cobre,Prueba FZG,Registro NSF,"Solidos Totales, %","Tama�o de Particula, �",Bombeabilidad,Clasificacion ISO 6743-9,"Presion de Flujo a -30�C, mbar","Separacion del Aceite, %",Prevencion a la Corrosion,Estabilidad a la Oxidacion,Resistencia a la Humedad,pH,Factor de Torque,"Viscosidad Din�mica a 25�C, cP",Biodegradabilidad en 28 dias (> 60%),Factor de Velocidad,"Temperatura de Servicio �C, min","Temperatura de Servicio �C, max",categoria,subtitulo,descripcion,beneficios,aplicaciones,color,textura
1,Grasa_1,Semi-Sintetico,Complejo Sulfonato de Calcio,2,680,279,304,1.07,500,,,60,0.58,,,,,,,,,,,,,,,,,,200000,5,220,Grasa,"Grasa de servicio pesado para alta resistencia al lavado por agua, temperatura y larga duración. ","El producto es grasa lubricante de servicio pesado, espesada con jabón complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidación, la corrosión y al lavado por agua. 
El producto posee excelentes propiedades sellantes, de resistencia a la humedad, mantiene alta protección anticorrosiva y características de soporte de carga/anti-desgaste excepcionales. ","Excelentes características de resistencia al lavado por agua y sellado del rodamiento.
@Alta estabilidad térmica y anti-oxidante.
@Excelente estabilidad de trabajo mecánico.
@Alta resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.",Debido a su composición óptima de aceites de alta calidad y espesante de jabón complejo la grasa El producto puede usarse en aplicaciones de alta temperatura y en condiciones de trabajos severos por cargas mecánicas debido a su capacidad de carga y propiedades de extrema presión inherentes.,Café,Suave
2,Grasa_2,Mineral HT,Complejo Sulfonato de Calcio,1.5,460,300,304,2.6,900,0.5,166,70,3,,1a,,,,,,,,,,,,,,,,300000,-30,150,Grasa,Grasa para lubricación de equipo pesado.,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
La composición de los aceites y la base de jabón complejo sulfonato de calcio proporciona excelente protección anti-desgaste, alto soporte de carga extrema, protección anti-corrosiva en medios químicamente agresivos, así como una excelente estabilidad mecánica, contiene 5% de lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas.","Extremo soporte de carga.
@Alto contenido de solidos.
@Alto soporte antidesgaste por vibración.
@Adherencia extrema a los mecanismos.
@Protección contra la corrosión.","Lubricación centralizada de equipo pesado.
@Chasis y sistemas centralizados en palas mecánicas.
@Quinta rueda en camiones de carga.
@Rodamientos expuestos a alta carga y vibración.
@Cojinetes de quebradoras de cono.",Negro,Adherente
3,Grasa_3,Mineral HT,Complejo Sulfonato de Calcio,2,460,265 - 295,300,10,500,0.48,,,3,,,,,,,,,,,,,,,,,,,-10,150,Grasa,Grasa para lubricación de equipo pesado.,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
La composición de los aceites y la base de jabón complejo sulfonato de calcio proporciona excelente protección anti-desgaste, alto soporte de carga extrema, protección anti-corrosiva en medios químicamente agresivos, así como una excelente estabilidad mecánica, contiene lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas.","Extremo soporte de carga.
@Alto contenido de solidos.
@Alto soporte antidesgaste por vibración.
@Adherencia extrema a los mecanismos.
@Protección contra la corrosión.","Lubricación centralizada de equipo pesado.
@Chasis y sistemas centralizados en palas mecánicas.
@Quinta rueda en camiones de carga.
@Rodamientos expuestos a alta carga y vibración.
@Cojinetes de quebradoras de cono.",Negro,Adherente
4,Grasa_4,Mineral HT,Complejo Sulfonato de Calcio,2,220,266 - 295,300,5,500,0.45,,,3,,,,,,,Buena,,,,,,,,,,,,-15,150,Grasa,Grasa lubricante para condiciones extremas.,"El producto es una grasa lubricante elaborada con una mezcla de bases minerales espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia térmica y antioxidante, con una configuración de aditivos anti-oxidantes, anti-corrosivos, anti-herrumbrantes, anti-desgaste y de extrema presión que le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas.","Alta estabilidad térmica y anti-oxidante.
@Excelentes características de lavado por agua.
@Alta resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.","Rodamientos expuestos a alta temperatura y cargas mecánicas.
@Rodamientos de trenes de laminado de metales.
@Rodamientos en condiciones de extremo lavado por agua.",Ambar,Suave
5,Grasa_5,Mineral HT,Complejo de Aluminio - Poliurea,1.5,680,295,260,6.5,620,0.48,,50,1.45,,1a,,,,,,,,,,,,,,,,,-5,150,Grasa,Grasa lubricante para servicio pesado con alta resistencia a humedad y alto soporte a cargas extremas.,"El producto es un grasa lubricante con propiedades especiales de gran adhesión y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea, así como una excelente estabilidad mecánica, contiene 5% de lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas.","Excelente soporte de carga extrema.
@Excelente resistencia al lavado por agua.
@Alta resistencia a medios químicos agresivos.
@Excelente adherencia a partes en movimiento.
@Gran protección contra la corrosión.","El producto es ideal para la lubricación de mecanismos que operan en velocidades bajas, además proporciona excelentes propiedades de sellado contra los medios húmedos y contaminantes agresivos como sustancias alcalinas y acidas.
@Lubricación de equipo pesado.
@Rodamientos sometidos a alta carga y vibración.
@Palas Mecánicas y equipo móvil.
@Cojinetes de quebradoras.
@Acoplamientos.",Negro,Adherente
6,Grasa_6,Mineral HT,Complejo de Aluminio - Poliurea,2,680,275,260,6.5,620,0.48,,50,1.45,,1a,,,,,,,,,,,,,,,,,-5,150,Grasa,Grasa lubricante para servicio pesado con alta resistencia a humedad y alto soporte a cargas extremas.,"El producto es un grasa lubricante con propiedades especiales de gran adhesión y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea, así como una excelente estabilidad mecánica, contiene 5% de lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas.","Excelente soporte de carga extrema.
@Excelente resistencia al lavado por agua.
@Alta resistencia a medios químicos agresivos.
@Excelente adherencia a partes en movimiento.
@Gran protección contra la corrosión.","El producto es ideal para la lubricación de mecanismos que operan en velocidades bajas, además proporciona excelentes propiedades de sellado contra los medios húmedos y contaminantes agresivos como sustancias alcalinas y acidas.
@Lubricación de equipo pesado.
@Rodamientos sometidos a alta carga y vibración.
@Palas Mecánicas y equipo móvil.
@Cojinetes de quebradoras.
@Acoplamientos.",Negro,Adherente
7,Grasa_7,Mineral HT,Complejo de Aluminio,1,3800,320,280,,500,,,40,,,,,,,,,,,,,,,,,,,,-5,120,Grasa,Grasa lubricante especial para cables.,"El producto es una grasa especial para engranajes abiertos de baja velocidad lubricados por inmersión o en forma manual, así como para la lubricación y conservación de cables de grúas.
El producto está formulado con aceite básico de muy alta viscosidad, agentes espesantes de jabón de aluminio complejo para garantizar la polaridad hacia los metales y lubricantes sólidos de grafito micronizados para aumentar la capacidad de soporte de carga.","Excelentes características térmicas.
@Excelente adherencia a los metales.
@Excelente resistencia al agua.
@Excelentes propiedades de extrema presión.","Se recomienda en la lubricación de engranajes abiertos de baja velocidad como los de molinos, de hornos giratorios, así como también transmisiones abiertas de grúas y malacates.
@Se recomienda también para la lubricación de cables de acero de grúas en ambientes contaminados o en condiciones de salinidad.",Negro,Adherente
8,Grasa_8,Mineral HT,Complejo Sulfonato de Calcio,0,800,370,304,1.6,900,0.5,166,70,,,1a,,,,,,,,,,,,,,,,300000,-30,150,Grasa,Grasa para lubricación de equipo pesado.,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
La composición de los aceites y la base de jabón complejo sulfonato de calcio proporciona excelente protección anti-desgaste, alto soporte de carga extrema, protección anti-corrosiva en medios químicamente agresivos, así como una excelente estabilidad mecánica, contiene 5% de lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas.","Extremo soporte de carga.
@Alto contenido de solidos.
@Alto soporte antidesgaste por vibración.
@Adherencia extrema a los mecanismos.
@Protección contra la corrosión.","Lubricación centralizada de equipo pesado.
@Chasis y sistemas centralizados en palas mecánicas.
@Quinta rueda en camiones de carga.
@Rodamientos expuestos a alta carga y vibración.
@Cojinetes de quebradoras de cono.",Negro,Adherente
9,Grasa_9,Mineral HT,Complejo Sulfonato de Calcio,1,800,312,304,1.6,900,0.5,166,70,3,,1a,,,,,,,,,,,,,,,,300000,-30,150,Grasa,Grasa para lubricación de equipo pesado.,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
La composición de los aceites y la base de jabón complejo sulfonato de calcio proporciona excelente protección anti-desgaste, alto soporte de carga extrema, protección anti-corrosiva en medios químicamente agresivos, así como una excelente estabilidad mecánica, contiene 5% de lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas.","Extremo soporte de carga.
@Alto contenido de solidos.
@Alto soporte antidesgaste por vibración.
@Adherencia extrema a los mecanismos.
@Protección contra la corrosión.","Lubricación centralizada de equipo pesado.
@Chasis y sistemas centralizados en palas mecánicas.
@Quinta rueda en camiones de carga.
@Rodamientos expuestos a alta carga y vibración.
@Cojinetes de quebradoras de cono.",Negro,Adherente
10,Grasa_10,Mineral HT,Complejo Sulfonato de Calcio,1.5,800,300,304,2.6,900,0.5,166,70,3,,1a,,,,,,,,,,,,,,,,300000,-30,150,Grasa,Grasa para lubricación de equipo pesado.,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
La composición de los aceites y la base de jabón complejo sulfonato de calcio proporciona excelente protección anti-desgaste, alto soporte de carga extrema, protección anti-corrosiva en medios químicamente agresivos, así como una excelente estabilidad mecánica, contiene 5% de lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas.","Extremo soporte de carga.
@Alto contenido de solidos.
@Alto soporte antidesgaste por vibración.
@Adherencia extrema a los mecanismos.
@Protección contra la corrosión.","Lubricación centralizada de equipo pesado.
@Chasis y sistemas centralizados en palas mecánicas.
@Quinta rueda en camiones de carga.
@Rodamientos expuestos a alta carga y vibración.
@Cojinetes de quebradoras de cono.",Negro,Adherente
